ORDER	FAMILY	GENUS	SPECIES	HYP	BU	AL	OL	SF	OT	OO	CM	HOD	LOP	LOPT	ETH	Source	
Artiodactyla	Anthracotheriidae	Anthracotherium	punjabiense	1	0	1	0	0	0	0	0	1	2	0	0	https://www.morphosource.org/concern/media/000356387?locale=en	
Artiodactyla	Anthracotheriidae	Hemimeryx	indet.	1	0	1	0	0	0	0	0	1	2	0	0	by genus 	
Artiodactyla	Anthracotheriidae	Hemimeryx	pusillus	1	0	1	0	0	0	0	0	1	2	0	0	https://commons.wikimedia.org/wiki/File:Hemimeryx_pusillus_tooth_and_mandible.JPG	
Artiodactyla	Anthracotheriidae	indet.	indet.	1	0	1	0	0	0	0	0	1	2	0	0	by family	
Artiodactyla	Anthracotheriidae	Merycopotamus	dissimilis	1	0	1	0	0	0	0	0	1	2	0	0	https://www.researchgate.net/figure/Merycopotamus-dissimilis-Falconer-and-Cautley-A-an-epoxy-cast-of-NMMP-KU-IR-0360_fig7_254315236	
Artiodactyla	Anthracotheriidae	Merycopotamus	indet.	1	0	1	0	0	0	0	0	1	2	0	0	by genus pictures	
Artiodactyla	Anthracotheriidae	Merycopotamus	medioximus	1	0	1	0	0	0	0	0	1	2	0	0	https://www.sciencedirect.com/science/article/pii/S1631068304001095#FIG3	
Artiodactyla	Anthracotheriidae	Merycopotamus	thachangensis	1	0	1	0	0	0	0	0	1	2	0	0	by genus pictures	
Artiodactyla	Anthracotheriidae	Microbunodon 	silistrense 	1	0	1	0	0	0	0	0	1	1	0	0	A new species of the genus Microbunodon (Anthracotheriidae, Artiodactyla) from the Miocene of Pakistan: genus revision, phylogenetic relationships and palaeobiogeography (wiley.com)	
Artiodactyla	Anthracotheriidae	Parabrachyodus	hyopotamoides	1	0	1	0	0	0	0	0	1	2	0	0	genus picture	
Artiodactyla	Anthracotheriidae	Sivameryx	indet.	1	0	1	0	0	0	0	0	1	2	0	0	https://www.researchgate.net/figure/Main-generic-features-of-Sivameryx-Mandible-of-Sivameryx-africanus-from-Gebel-Zelten-in_fig3_284970984	
Artiodactyla	Anthracotheriidae	Sivameryx	palaeindicus	1	0	1	0	0	0	0	0	1	2	0	0	https://www.researchgate.net/figure/Main-generic-features-of-Sivameryx-Mandible-of-Sivameryx-africanus-from-Gebel-Zelten-in_fig3_284970984	
Artiodactyla	Bovidae	Antidorcas	indet.	3	0	0	1	0	0	1	0	1	2	0	0	by genus photo	
Artiodactyla	Bovidae	Antilope	indet.	2	0	0	1	0	0	1	0	1	2	0	0	by genus photo	
Artiodactyla	Bovidae	Antilospira	indet.	2	0	0	1	0	0	1	0	1	2	0	0	Tang	
Artiodactyla	Bovidae	Antilospira	yuxianensis	2	0	0	1	0	0	1	0	1	2	0	0	\N	
Artiodactyla	Bovidae	Antispiroides	hopeiensis	2	0	0	1	0	0	1	0	1	2	0	0	by family	
Artiodactyla	Bovidae	Bos	indet.	3	0	0	1	1	0	0	1	1	2	0	0	by genus present day	
Artiodactyla	Bovidae	Capricornis	indet.	3	0	0	1	0	0	1	0	1	2	0	0	by genus majority present day	
Artiodactyla	Bovidae	Dorcadoryx	indet.	2	0	0	1	0	0	1	0	1	2	0	0	by genus	
Artiodactyla	Bovidae	Dorcadoryx	lagrelii	2	0	0	1	0	0	1	0	1	2	0	0		
Artiodactyla	Bovidae	Dorcadoryx	orientalis	2	0	0	1	0	0	1	0	1	2	0	0		
Artiodactyla	Bovidae	Dorcadoryx	triquetricornis	2	0	0	1	0	0	1	0	1	2	0	0	by genus	
Artiodactyla	Bovidae	Dorcadoxa	prorrecticornis	3	0	0	1	0	0	1	0	1	2	0	0	by genus photo	
Artiodactyla	Bovidae	Duboisia	santeng	3	0	0	1	0	0	1	0	1	2	0	0	by genus and species photo	
Artiodactyla	Bovidae	Elachistoceras	indet.	1	0	0	1	0	0	1	0	1	2	0	0		
Artiodactyla	Bovidae	Elachistoceras	khauristanensis	1	0	0	1	0	0	1	0	1	2	0	0	by species photo	
Artiodactyla	Bovidae	Eotragus	halamagaiensis	1	0	1	0	0	0	0	0	1	2	0	0	\N	
Artiodactyla	Bovidae	Eotragus	minus	1	0	1	0	0	0	0	0	1	2	0	0		
Artiodactyla	Bovidae	Eotragus	noyei	1	0	1	0	0	0	0	0	1	2	0	0		
Artiodactyla	Bovidae	Gazella	altidens	2	0	0	1	0	0	1	0	1	2	0	0	photo Uppsala	
Artiodactyla	Bovidae	Gazella	blacki	2	0	0	1	0	0	1	0	1	2	0	0		
Artiodactyla	Bovidae	Gazella	dorcadoides	3	0	0	1	0	0	1	0	1	2	0	0	Uppsala	
Artiodactyla	Bovidae	Gazella	gaudryi	2	0	0	1	0	0	1	0	1	2	0	0	Uppsala	
Artiodactyla	Bovidae	Gazella	indet.	3	0	0	1	0	0	1	0	1	2	0	0	by genus	
Artiodactyla	Bovidae	Gazella	kueitensis	2	0	0	1	0	0	1	0	1	2	0	0	by genus	
Artiodactyla	Bovidae	Gazella	lydekkeri	2	0	0	1	0	0	1	0	1	2	0	0	by genus	
Artiodactyla	Bovidae	Gazella	nihensis	2	0	0	1	0	0	1	0	1	2	0	0	by Chen and Zhang	
Artiodactyla	Bovidae	Gazella	padriensis	2	0	0	1	0	0	1	0	1	2	0	0	synonym to G. lydekkeri	
Artiodactyla	Bovidae	Gazella	paotehensis	2	0	0	1	0	0	1	0	1	2	0	0	by genus	
Artiodactyla	Bovidae	Gazella	sinensis	2	0	0	1	0	0	1	0	1	2	0	0	by genus	
Artiodactyla	Bovidae	Gazella	sp.	2	0	0	1	0	0	1	0	1	2	0	0	by genus	
Artiodactyla	Bovidae	gen.	sp.	?	?	?	?	?	?	?	?	?	?	?	?	\N	
Artiodactyla	Bovidae	Helicoportax	praecox	2	0	0	1	0	0	1	0	1	2	0	0	genus photo	Khan et al., 2011. New fossil locality in the Middle Miocene of LAVA from the chinji formation of the lower Siwaliks, Pakistan. Pakistan J. Zool., vol43(1), 61-72
Artiodactyla	Bovidae	Helicoportax	tragelaphoides	2	0	0	1	0	0	1	0	1	2	0	0	\N	
Artiodactyla	Bovidae	Hezhengia	bohlini	2	0	0	1	0	0	1	0	1	2	0	0	species photo	
Artiodactyla	Bovidae	Homoiodorcas	indet.	3	0	0	1	0	0	1	0	1	2	0	0	Gazella like	
Artiodactyla	Bovidae	Hypsodontus	gaopense	3	0	0	1	0	0	1	0	1	2	0	0	\N	
Artiodactyla	Bovidae	Hypsodontus	indet.	3	0	0	1	0	0	1	0	1	2	0	0	\N	
Artiodactyla	Bovidae	indet.	indet.	?	?	?	?	?	?	?	?	?	?	?	?	?	
Artiodactyla	Bovidae	Kubanotragus	gaopoensis	3	0	0	1	0	0	1	0	1	2	0	0	\N	
Artiodactyla	Bovidae	Kubanotragus	sokolovi	3	0	0	1	0	0	1	0	1	2	0	0	\N	
Artiodactyla	Bovidae	Lantiantragus	longirostralis	2	0	0	1	0	0	1	0	1	2	0	0		
Artiodactyla	Bovidae	Macrotragus	planifrons	2	0	0	1	0	0	1	0	1	2	0	0	by genus photo	
Artiodactyla	Bovidae	Macrotragus	shansiensis	2	0	0	1	0	0	1	0	1	2	0	0	by genus photo	
Artiodactyla	Bovidae	Miotragocerus	gluten	2	0	0	1	0	0	1	0	1	2	0	0	species photo	
Artiodactyla	Bovidae	Miotragocerus	gregarius	2	0	0	1	0	0	1	0	1	2	0	0	by genus photo	
Artiodactyla	Bovidae	Miotragocerus	indet.	2	0	0	1	0	0	1	0	1	2	0	0	by genus photo	
Artiodactyla	Bovidae	Oioceros	jiulongkouensis	3	0	0	1	0	0	1	0	1	2	0	0	\N	
Artiodactyla	Bovidae	Oioceros	noverca	3	0	0	1	0	0	1	0	1	2	0	0	\N	
Artiodactyla	Bovidae	Olonbulukia	tsaidamensis	3	0	0	1	0	0	1	0	1	2	0	0	refer to Pantholops	
Artiodactyla	Bovidae	Pachygazella	grangeri	2	0	0	1	0	0	1	0	1	2	0	0	Caprinae general	
Artiodactyla	Bovidae	Pachyportax	giganteus	3	0	0	1	0	0	1	0	1	2	0	0	by genus photo	
Artiodactyla	Bovidae	Pachyportax	indet.	3	0	0	1	0	0	1	0	1	2	0	0	by genus photo	
Artiodactyla	Bovidae	Pachyportax	latidens	3	0	0	1	0	0	1	0	1	2	0	0	Aslam et al. 2010	
Artiodactyla	Bovidae	Pachyportax	nagrii	3	0	0	1	0	0	1	0	1	2	0	0	by genus photo	
Artiodactyla	Bovidae	Palaeoryx	indet.	2	0	0	1	0	0	1	0	1	2	0	0	by genus	
Artiodactyla	Bovidae	Palaeoryx	sinensis	2	0	0	1	0	0	1	0	1	2	0	0	genus photo	
Artiodactyla	Bovidae	Paraprotoryx	minor	2	0	0	1	0	0	1	0	1	2	0	0	by family	
Artiodactyla	Bovidae	Perimia	falconeri	3	0	0	1	0	0	0	0	1	2	0	0	Selenoportax falconeri	
Artiodactyla	Bovidae	Plesiaddax	depereti	2	0	0	1	0	0	1	0	1	2	0	0	by genus	
Artiodactyla	Bovidae	Plesiaddax	indet.	2	0	0	1	0	0	1	0	1	2	0	0	by genus	
Artiodactyla	Bovidae	Plesiaddax	minor	2	0	0	1	0	0	1	0	1	2	0	0	by genus	
Artiodactyla	Bovidae	Proamphibos	kashmiricus	3	0	0	1	1	0	0	0	1	2	0	0	by Siddiq et al.	
Artiodactyla	Bovidae	Probison	dehmi	3	0	0	1	1	0	0	0	1	2	0	0	by Sahni and Khan	
Artiodactyla	Bovidae	Proleptobos	birmanicus	3	0	0	1	1	0	0	0	1	2	0	0	by family	
Artiodactyla	Bovidae	Prosinotragus	indet.	1	0	0	1	0	0	1	0	1	2	0	0	\N	
Artiodactyla	Bovidae	Prosinotragus	tenuicornis	1	0	0	1	0	0	1	0	1	2	0	0	by family	
Artiodactyla	Bovidae	Protoryx	indet.	1	0	0	1	0	0	1	0	1	2	0	0	by genus Uppsala	
Artiodactyla	Bovidae	Protovis	himalayensis	2	0	0	1	0	0	1	0	1	2	0	0	was ?Pseudois	
Artiodactyla	Bovidae	Protragocerus	gluten	1	0	0	1	0	0	1	0	1	2	0	0	\N	
Artiodactyla	Bovidae	Qurliqnoria	cheni	2	0	0	1	0	0	1	0	1	2	0	0	by genus publication	
Artiodactyla	Bovidae	Qurliqnoria	sp.	2	0	0	1	0	0	1	0	1	2	0	0	by genus publication	
Artiodactyla	Bovidae	Selenoportax	indet.	3	0	0	1	0	0	1	0	1	2	0	0	by genus NOW records	
Artiodactyla	Bovidae	Selenoportax	lydekkeri	3	0	0	1	0	0	1	0	1	2	0	0	by genus pictures	
Artiodactyla	Bovidae	Selenoportax	vexillarius	3	0	0	1	0	0	1	0	1	2	0	0	by genus pictures	
Artiodactyla	Bovidae	Shaanxispira	baheensis	2	0	0	1	0	0	1	0	1	2	0	0	by genus	
Artiodactyla	Bovidae	Shaanxispira	chowi	2	0	0	1	0	0	1	0	1	2	0	0	by genus	
Artiodactyla	Bovidae	Sinopalaeoceros	xiejiaensis	3	0	0	1	0	0	1	0	1	2	0	0	photo	
Artiodactyla	Bovidae	Sinoryx	indet.	3	0	0	1	0	0	1	0	1	2	0	0	by family	
Artiodactyla	Bovidae	Sinotragus	indet.	2	0	0	1	0	0	1	0	1	2	0	0	by genus Uppsala	
Artiodactyla	Bovidae	Sinotragus	wimani	2	0	0	1	0	0	1	0	1	2	0	0	by genus Uppsala	
Artiodactyla	Bovidae	Sivoreas	eremita	2	0	0	1	0	0	1	0	1	2	0	0		
Artiodactyla	Bovidae	Tossunnoria	pseudibex	3	0	0	1	0	0	1	0	1	2	0	0	by family	
Artiodactyla	Bovidae	Tragocerus	gregarius	1	0	0	1	0	0	1	0	1	2	0	0	by genus uncertain	
Artiodactyla	Bovidae	Tragoportax	browni	2	0	0	1	0	0	1	0	1	2	0	0	by Khan et al.	
Artiodactyla	Bovidae	Tragoportax	perimensis	2	0	0	1	0	0	1	0	1	2	0	0	genus	
Artiodactyla	Bovidae	Tragoportax	punjabicus	2	0	0	1	0	0	1	0	1	2	0	0	genus	
Artiodactyla	Bovidae	Tragoportax	salmontanus	2	0	0	1	0	0	1	0	1	2	0	0	genus	
Artiodactyla	Bovidae	Tragoportax	spectabilis	2	0	0	1	0	0	1	0	1	2	0	0	genus	
Artiodactyla	Bovidae	Tragoreas	indet.	2	0	0	1	0	0	1	0	1	2	0	0	by genus NOW	
Artiodactyla	Bovidae	Tragoreas	lagrelii	2	0	0	1	0	0	1	0	1	2	0	0	by genus NOW	
Artiodactyla	Bovidae	Tragoreas	palaeosinensis	2	0	0	1	0	0	1	0	1	2	0	0		
Artiodactyla	Bovidae	Tsaidamotherium	hedini	3	0	0	1	0	0	1	0	1	2	0	0	photo	
Artiodactyla	Bovidae	Turcocerus	grangeri	3	0	0	1	0	0	1	0	1	2	0	0	\N	
Artiodactyla	Bovidae	Turcocerus	indet.	3	0	0	1	0	0	1	0	1	2	0	0	\N	
Artiodactyla	Bovidae	Turcocerus	kekemaidengensis	3	0	0	1	0	0	1	0	1	2	0	0	\N	
Artiodactyla	Bovidae	Turcocerus	lishanensis	3	0	0	1	0	0	1	0	1	2	0	0	\N	
Artiodactyla	Bovidae	Turcocerus	noverca	3	0	0	1	0	0	1	0	1	2	0	0	\N	
Artiodactyla	Bovidae	Urmiatherium	intermedium	2	0	0	1	0	0	1	0	1	2	0	0		
Artiodactyla	Camelidae	Camelus	sivalensis	3	0	0	1	0	0	1	0	1	2	0	0	by genus photo	
Artiodactyla	Camelidae	Paracamelus	indet.	3	0	0	1	0	0	1	0	1	2	0	0	by genus pictures	
Artiodactyla	Cervidae	Axis	indet.	2	0	1	0	0	0	0	0	1	2	0	0	by genus photo	
Artiodactyla	Cervidae	Axis	shansius	2	0	1	0	0	0	0	0	1	2	0	0	photo	
Artiodactyla	Cervidae	Cervavitus	demissus	1	0	1	0	0	0	0	0	1	2	0	0	synonym with C novorossiae	
Artiodactyla	Cervidae	Cervavitus	indet.	1	0	1	0	0	0	0	0	1	2	0	0	by genus	
Artiodactyla	Cervidae	Cervavitus	novorossiae	1	0	1	0	0	0	0	0	1	2	0	0	https://www.researchgate.net/figure/fig2_270884890	
Artiodactyla	Cervidae	Cervocerus	huadeensis	1	0	1	0	0	0	0	0	1	2	0	0	by genus	
Artiodactyla	Cervidae	Cervocerus	indet.	1	0	1	0	0	0	0	0	1	2	0	0	by genus	
Artiodactyla	Cervidae	Cervocerus	novonossiae	1	0	1	0	0	0	0	0	1	2	0	0	Uppsala	
Artiodactyla	Cervidae	Cervus	indet.	1	0	1	0	0	0	0	0	1	2	0	0	synonym to Cervavitus shanxius	
Artiodactyla	Cervidae	Dicrocerus	elegans	1	0	1	0	0	0	0	0	1	1	0	0	species photo	
Artiodactyla	Cervidae	Dicrocerus	grangeri	1	0	1	0	0	0	0	0	1	1	0	0	\N	
Artiodactyla	Cervidae	Dicrocerus	indet.	1	0	1	0	0	0	0	0	1	1	0	0	picture	
Artiodactyla	Cervidae	Dicrocerus	sp.	1	0	1	0	0	0	0	0	1	1	0	0	\N	
Artiodactyla	Cervidae	Eostyloceros	blainvillei	1	0	1	0	0	0	0	0	1	1	0	0		
Artiodactyla	Cervidae	Euprox	alticus	1	0	1	0	0	0	0	0	1	2	0	0	\N	
Artiodactyla	Cervidae	Euprox	grangeri	1	0	1	0	0	0	0	0	1	2	0	0	photo	
Artiodactyla	Cervidae	Euprox	indet.	1	0	1	0	0	0	0	0	1	2	0	0		
Artiodactyla	Cervidae	gen.	sp.	1	0	1	0	0	0	0	0	1	2	0	0	?	
Artiodactyla	Cervidae	indet.	indet.	1	0	1	0	0	0	0	0	1	2	0	0	by family	
Artiodactyla	Cervidae	Lagomeryx	colberti	1	0	1	0	0	0	0	0	1	2	0	0		
Artiodactyla	Cervidae	Lagomeryx	complicidens	1	0	1	0	0	0	0	0	1	2	0	0	genus photo	
Artiodactyla	Cervidae	Lagomeryx	indet.	1	0	1	0	0	0	0	0	1	2	0	0	\N	
Artiodactyla	Cervidae	Lagomeryx	triacuminatus	1	0	1	0	0	0	0	0	1	2	0	0	\N	
Artiodactyla	Cervidae	Lagomeryx	tsaidamensis	1	0	1	0	0	0	0	0	1	2	0	0	\N	
Artiodactyla	Cervidae	Ligeromeryx	indet.	1	0	1	0	0	0	0	0	1	2	0	0		
Artiodactyla	Cervidae	Metacervulus	bidens	1	0	1	0	0	0	0	0	1	2	0	0	by genus	
Artiodactyla	Cervidae	Metacervulus	brevis	1	0	1	0	0	0	0	0	1	2	0	0	by genus	
Artiodactyla	Cervidae	Metacervulus	capreolinus	1	0	1	0	0	0	0	0	1	2	0	0	by genus	
Artiodactyla	Cervidae	Metacervulus	indet.	1	0	1	0	0	0	0	0	1	2	0	0	by genus	
Artiodactyla	Cervidae	Metacervulus	lepidus	1	0	1	0	0	0	0	0	1	2	0	0	species photo	
Artiodactyla	Cervidae	Metacervulus	mongoliensis	1	0	1	0	0	0	0	0	1	2	0	0	\N	
Artiodactyla	Cervidae	Metacervulus	simplex	1	0	1	0	0	0	0	0	1	2	0	0		
Artiodactyla	Cervidae	Muntiacus	indet.	2	0	1	0	0	0	0	0	1	2	0	0	M. zhaotongensis	
Artiodactyla	Cervidae	Muntiacus	lacustris	2	0	1	0	0	0	0	0	1	2	0	0	by genus publication	
Artiodactyla	Cervidae	Muntiacus	nanus	2	0	1	0	0	0	0	0	1	2	0	0	photo	
Artiodactyla	Cervidae	Paracervulus	attenuatus	1	0	1	0	0	0	0	0	1	2	0	0	photo	
Artiodactyla	Cervidae	Paracervulus	indet.	1	0	1	0	0	0	0	0	1	2	0	0	tribe Muntiacini	
Artiodactyla	Cervidae	Procapreolus	indet.	1	0	1	0	0	0	0	0	1	2	0	0	by genus	
Artiodactyla	Cervidae	Procapreolus	jinensis	1	0	1	0	0	0	0	0	1	2	0	0	by genus	
Artiodactyla	Cervidae	Procapreolus	latifrons	1	0	1	0	0	0	0	0	1	2	0	0	by genus	
Artiodactyla	Cervidae	Stephanocemas	chinghaiensis	1	0	1	0	0	0	0	0	1	2	0	0	\N	
Artiodactyla	Cervidae	Stephanocemas	indet.	1	0	1	0	0	0	0	0	1	2	0	0	by genus publication	
Artiodactyla	Cervidae	Stephanocemas	rucha	1	0	1	0	0	0	0	0	1	2	0	0	genus photo	
Artiodactyla	Cervidae	Stephanocemas	sp.	1	0	1	0	0	0	0	0	1	2	0	0	\N	
Artiodactyla	Cervidae	Stephanocemas	thomsoni	1	0	1	0	0	0	0	0	1	2	0	0	\N	
Artiodactyla	Climacoceratidae	Prolibytherium	fusus	1	0	0	1	0	0	1	0	1	2	0	0		
Artiodactyla	Entelodontidae	Paraentelodon	indet.	1	1	0	0	0	0	0	0	1	0	0	1		
Artiodactyla	Giraffidae	Bramatherium	indet.	2	0	1	0	0	0	0	0	1	2	0	0	?	
Artiodactyla	Giraffidae	Bramatherium	perimense	2	0	1	0	0	0	0	0	1	2	0	0	https://docsdrive.com/pdfs/ansinet/pjbs/2002/348-351.pdf	
